"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Botswana","BWA","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","36.94792","42.02665","48.69173","53.21219","56.27626","53.29675","47.77838","44.17456","51.01484","63.2733","67.83437","77.80972","81.18288","73.51656","75.99337","81.16861","90.56743","92.46959","89.21898","86.44238","88.54146","89.04912","89.70805","88.99695","93.4007","89.80866","91.38623","","91.44035","89.19321","89.1126","91.5046","92.83783","92.95724","93.03687","93.28365","96.46403","92.73232","93.58268","94.6701","","","","","",
"Central African Republic","CAF","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","27.33103","25.73636","31.9365","28.23731","35.77437","30.73237","32.47663","40.12645","","","30.12976","29.78856","26.58597","","","37.37982","27.75449","28.80381","28.376","30.17346","28.01289","22.53688","","","","","","","","","","","","24.56155","27.0211","27.07936","33.46255","36.41464","39.06177","41.24126","43.04368","45.3486","","",
"Canada","CAN","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.22549","95.69498","97.38196","","","","","","96.50879","","","","","","","","",
"Central Europe and the Baltics","CEB","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","93.7409515380859","96.2852096557617","94.8829345703125","94.8183212280273","94.3811492919922","93.8998489379883","92.5159759521484","90.7194595336914","91.2936401367188","92.199104309082","92.7462997436523","93.5436477661133","95.3453521728516","96.8636169433594","95.9170913696289","94.8525238037109","94.632080078125","96.7183609008789","96.6757125854492","98.1401290893555","99.2710113525391","98.0633163452148","96.6490478515625","96.0893859863281","94.9778213500977","95.9053649902344","97.5459518432617","97.8076858520508","96.3628311157227","","",
"Switzerland","CHE","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","52.70488","59.78051","57.5635","56.15276","51.99613","51.69886","52.03864","51.20611","50.6977","49.85224","49.41545","48.46954","49.86965","51.24512","53.61652","55.17591","61.21004","62.28201","","72.96973","","","95.33719","96.37563","97.73675","97.97175","98.1949","99.17978","96.72989","93.70516","93.09655","94.09805","95.77006","95.87771","96.41173","96.81221","","",
"Channel Islands","CHI","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","77.16976","83.46433","86.92614","87.27528","85.31733","86.3883","90.0904","88.937","","","","","","97.02481","","","","","","","","","","","","","","83.23378","90.75602","97.14263","97.77532","","99.96523","96.6686","94.67887","","","95.44335","","","98.46351","94.83603","97.33283","","",
"China","CHN","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","104.60984","105.91858","105.92511","99.62998","99.42065","99.79033","93.87682","88.79852","87.3379","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","39.53209","39.73513","43.55625","47.03678","49.93513","50.27383","51.85033","54.19973","57.78649","","55.13481","53.5925","46.01824","46.91774","46.51076","47.02238","44.13655","42.1494","45.96246","41.79839","43.03321","42.96807","41.56111","43.04683","40.64483","40.92359","44.10686","44.9233","51.5764","","","","","47.77599","49.04414","","50.29091","","59.12524","61.19567","","",
"Cameroon","CMR","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","46.82609","46.24041","48.21523","49.68395","50.6197","60.83142","51.37283","49.70167","49.88152","48.98773","49.21033","50.8342","52.26544","52.67421","54.43546","54.24632","","55.57646","54.34074","","","","","","","","47.75104","48.70436","","","55.31528","57.13297","50.05397","49.49006","52.61893","68.00256","67.74597","69.75661","69.06037","72.84545","","",
"Congo, Rep.","COG","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","56.83467","60.4284","70.05692","57.98029","67.60064","70.01116","72.78346","73.11979","80.07833","81.04526","79.46683","78.98361","72.71568","76.07242","73.48479","74.6019","75.09027","75.56139","69.7038","60.55914","55.90162","63.14327","64.4615","54.74351","","49.90708","","","31.75167","","57.41927","60.40158","57.10901","82.34703","71.87337","77.84373","75.92409","70.45697","69.46105","69.36973","76.08852","72.98274","","",
"Colombia","COL","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","49.1935","52.57123","53.29628","56.47311","57.0367","","","","","","","","70.5947","73.56352","73.84867","67.99333","70.73011","70.214","69.49482","69.25492","73.55794","72.94743","81.81144","82.92981","82.62786","86.39491","87.58864","","93.39546","94.86706","94.8574","92.17438","92.58965","","100.02206","103.58888","109.36411","110.82733","110.42825","114.62299","113.39394","111.22083","105.04355","","",
"Comoros","COM","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","59.39341","","","","","66.45583","53.61229","","","","","44.17667","38.58302","46.34452","","","","","52.75088","","","65.87892","65.49328","71.34623","","","71.29643","79.81509","","","","","","",
"Cabo Verde","CPV","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","9.30525","11.79133","18.64177","13.76518","13.36364","13.32026","17.02427","27.83321","25.43035","22.48492","31.22217","32.35001","35.29118","39.23645","44.49824","","56.49229","","","","72.64914","","","","99.98292","","105.57135","99.49341","101.36499","102.45404","100.56952","85.83374","98.33719","92.28717","98.70748","95.44976","100.14539","96.86149","99.04205","","",
"Costa Rica","CRI","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","75.71494","75.07494","84.07467","87.5804","86.11776","84.46247","80.94299","88.77403","86.07041","83.78861","84.31029","87.46574","87.68761","81.09573","74.11571","77.29494","78.06041","75.39533","75.86736","75.34781","74.7721","79.45632","81.41636","83.26449","81.7439","80.34206","81.31657","","","81.24092","86.70071","90.32558","93.11347","","94.65008","93.93313","90.20227","92.07904","93.32095","95.94151","95.90078","98.74847","95.19691","","",
"Caribbean small states","CSS","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","88.7929840087891","88.3104858398438","90.833381652832","90.8638229370117","92.6975631713867","90.6764831542969","92.0815353393555","93.496940612793","92.8070678710938","92.5717849731445","90.1125564575195","90.7524337768555","92.5030212402344","93.7720413208008","95.8860244750977","96.6680679321289","95.6860961914063","95.0039901733398","93.8016891479492","91.8801879882813","89.9152755737305","89.4702682495117","90.3372497558594","92.0675811767578","93.7308654785156","92.5358963012695","87.3714294433594","89.4404754638672","89.439811706543","92.2646636962891","93.3916320800781","94.2158813476563","92.8821563720703","92.5797576904297","93.1500473022461","91.3728790283203","91.9309310913086","91.5849304199219","","",
"Cuba","CUB","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","64.91364","58.36622","65.51224","75.48746","79.63281","93.69448","111.34345","119.57741","114.4053","105.85464","96.9412","87.14619","95.83849","100.46637","97.38069","94.23206","97.11251","95.2328","96.12166","93.77327","94.01335","86.35705","83.33659","95.74454","95.91732","96.46279","","","94.12099","95.90711","95.58538","100.15749","95.15362","91.47783","91.42283","90.15353","91.56632","88.49681","97.38392","98.12439","98.39932","95.61037","","",
"Curacao","CUW","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103.51288","103.84615","","","","","","","","","","","","","","",
"Cyprus","CYP","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","87.74883","87.37761","84.58779","86.59827","79.1223","78.65077","72.23928","77.63688","83.596","73.07264","89.33345","77.81579","78.40547","76.00438","58.12494","61.31049","68.53799","78.93495","78.21015","78.59986","83.33194","82.67945","100.76701","104.23888","99.69097","97.15772","98.86197","","100.71855","97.6595","98.04249","100.45012","101.18464","87.55183","100.0818","101.14621","99.95163","100.24621","103.16041","99.31649","101.7331","100.06414","","",
"Czech Republic","CZE","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.134","105.52102","105.8979","109.56047","","","99.61272","99.18972","99.05082","103.2616","98.09412","98.44477","97.8023","93.54136","96.17326","99.95735","105.74464","108.92985","105.80253","102.47479","","",
"Germany","DEU","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.98822","92.63016","92.82331","94.15872","96.7319","","99.96641","102.48783","103.53129","99.13981","97.97155","96.93061","94.90755","97.10657","102.44419","101.27282","101.75886","101.10327","100.37425","98.01374","","",
"Djibouti","DJI","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","20.38123","20.44888","20.19653","20.40973","19.06676","","","","","","","","","","26.21306","29.00483","27.36303","30.45675","28.44386","24.467","27.48986","24.54869","27.54002","29.60766","26.90121","24.08938","","22.7379","25.87907","25.44109","","","","31.66385","36.82715","","46.07024","","","52.48303","","51.95103","",
"Dominica","DMA","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.67873","","","","","","","","","","","122.96467","118.96685","119.89645","104.62633","100.27739","102.57278","102.1419","92.38613","93.97163","89.34911","85.25097","82.59109","92.51064","103.9604","","",
"Denmark","DNK","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","95.63146","92.51996","93.87293","92.7178","94.2385","101.3355","100.81119","108.18247","109.50044","102.31278","93.35869","91.35474","92.24821","97.84867","100.06174","97.11982","98.49071","102.41226","97.72208","95.43524","97.81574","97.06778","99.33191","96.88964","","","","101.66814","101.49437","100.19466","101.41411","105.47306","","100.74208","100.4484","102.12639","101.81484","100.98927","97.96319","99.12423","99.69799","98.52357","","",
"Dominican Republic","DOM","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","34.42234","","","","","","","","","","52.27382","","","","","","","","","","","","","61.9891","","","","","71.88971","77.11512","","89.57315","","85.38202","","82.85677","90.13727","","91.91486","90.83764","90.5956","90.30978","","",
"Algeria","DZA","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","40.52377","42.84526","45.6038","51.53914","57.78313","60.80073","63.32134","63.08261","62.50463","66.30154","67.57215","69.87923","74.01472","87.27369","71.73256","73.83586","74.9111","77.84902","76.66076","75.30257","77.70644","76.80768","75.38802","76.26959","79.26151","79.90574","","79.56427","77.31839","83.68223","86.07498","88.30409","90.59124","92.85775","83.34868","93.40107","","88.99792","92.62796","95.5341","100.23518","","",
"East Asia & Pacific (developing only)","EAP","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.3715591430664","98.241813659668","98.557487487793","98.0504302978516","93.9765243530273","94.4870834350586","95.2278289794922","91.5666427612305","88.1769104003906","87.2737731933594","88.1840362548828","89.1005630493164","90.1768569946289","91.5076675415039","92.0664367675781","92.9658737182617","93.6415252685547","94.1641235351563","96.175163269043","98.8523712158203","101.726669311523","104.630592346191","105.028427124023","","","","",
"East Asia & Pacific (all income levels)","EAS","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","99.0732955932617","98.846923828125","98.5002593994141","98.2797927856445","98.7882537841797","98.2580642700195","94.6934509277344","95.0916900634766","95.7598342895508","92.3823165893555","89.1404266357422","88.2034378051758","88.9737930297852","89.8251571655273","90.8053741455078","92.0753784179688","92.4573822021484","93.3983993530273","94.1013488769531","94.5751647949219","96.4714202880859","99.1390686035156","101.703056335449","104.341590881348","104.656532287598","","","","",
"Europe & Central Asia (developing only)","ECA","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","96.6921463012695","96.2206420898438","99.0483932495117","95.4233474731445","95.9907302856445","96.4655838012695","96.6582260131836","95.7941589355469","95.6674499511719","95.1056976318359","94.2703170776367","94.7718811035156","94.6679992675781","94.1689224243164","94.1626510620117","96.783576965332","98.4324569702148","97.5599746704102","99.3588180541992","102.097557067871","99.4810256958008","97.558837890625","97.4931182861328","97.4170608520508","98.252311706543","99.92724609375","98.5457229614258","","",
"Europe & Central Asia (all income levels)","ECS","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.1970291137695","96.8982620239258","95.6871566772461","95.8303527832031","95.8404159545898","96.0347137451172","95.9900665283203","95.5824813842773","94.9137878417969","94.8370361328125","95.0206146240234","95.0231475830078","94.9265594482422","95.2023315429688","97.0937042236328","97.4398651123047","97.1759567260742","97.5293350219727","97.8794174194336","96.8020324707031","96.6908798217773","97.1358947753906","97.7498931884766","98.1667251586914","98.5682220458984","97.9156341552734","","",
"Ecuador","ECU","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","56.36083","55.65502","59.35547","62.26879","66.33234","70.86893","72.70244","71.84332","75.87558","78.99601","82.90326","85.75786","89.56065","91.95948","92.45444","","94.91142","96.20177","","","","","","97.28409","95.19283","94.43938","97.14735","","97.5624","97.50993","98.11275","98.34088","98.15905","98.22631","102.8949","102.7789","102.676","","","102.27781","108.46619","110.86182","","",
"Egypt, Arab Rep.","EGY","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","53.17615","49.89897","52.9303","54.64558","57.12317","58.30623","58.8059","51.67343","34.63877","44.7259","53.59548","","","","","73.29681","73.78164","","","","","","","","","","93.15781","","98.43976","97.17613","95.92271","95.49512","96.75967","99.10884","101.08084","96.29968","100.22319","","103.18176","105.9136","","106.99634","","",
"Euro area","EMU","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","96.2608871459961","96.1482086181641","95.7877883911133","95.3596343994141","95.4431381225586","95.2697143554688","95.4242553710938","95.1989440917969","95.8056945800781","96.2185134887695","96.395637512207","95.7848663330078","97.6493835449219","98.1732559204102","98.5116577148438","98.0708541870117","98.1379852294922","98.2187423706055","97.4937057495117","97.1161499023438","97.2751617431641","97.0561065673828","97.5294647216797","98.0043792724609","98.741340637207","99.6001892089844","98.3009414672852","98.1703109741211","97.5087432861328","96.2383117675781","96.6039276123047","98.4146728515625","98.8202667236328","98.8387451171875","98.8689117431641","98.5196990966797","97.9482192993164","","",
"Eritrea","ERI","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.44971","21.53414","28.88376","31.66002","","29.86914","31.73979","32.11047","31.03151","34.15173","38.69172","46.07377","44.21658","42.3364","41.9996","43.05782","36.00885","","31.20823","","",
